"","date","hits","keyword","geo","time","gprop","category"
"78",2018-03-18,0,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"79",2018-03-25,0,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"80",2018-04-01,0,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"81",2018-04-08,33,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"82",2018-04-15,0,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"83",2018-04-22,0,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"84",2018-04-29,0,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"85",2018-05-06,0,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"86",2018-05-13,0,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"87",2018-05-20,35,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"88",2018-05-27,0,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"89",2018-06-03,0,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"90",2018-06-10,0,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"91",2018-06-17,33,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"92",2018-06-24,33,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"93",2018-07-01,33,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"94",2018-07-08,0,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"95",2018-07-15,0,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"96",2018-07-22,0,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"97",2018-07-29,0,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"98",2018-08-05,0,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"99",2018-08-12,34,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"100",2018-08-19,0,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"101",2018-08-26,0,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"102",2018-09-02,0,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"103",2018-09-09,0,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"104",2018-09-16,0,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"105",2018-09-23,0,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"106",2018-09-30,33,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"107",2018-10-07,0,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"108",2018-10-14,0,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"109",2018-10-21,66,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"110",2018-10-28,67,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"111",2018-11-04,32,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"112",2018-11-11,0,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"113",2018-11-18,0,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"114",2018-11-25,32,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"115",2018-12-02,0,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
